ICD1,ICD2,Log2_Ratio,ICD11_1,ICD11_2
E11,I11,2.16580889297,5A11,BA01
B34,R46,1.104504,1D9Z,MB23
B18,B24,2.06097529748,1E51,1C62.1
F65,R46,1.505928,6D3Z,MB23
L30,M11,1.217996,EA8Z,FA26
J18,J45,1.95752269217,CA40,CA23.32
F60,F90,1.60872702456,6D10,6A05
B15,B18,2.32729763093,1E50.0,1E51
R23,Z04,1.257642,ME66.Y,MF3Y
L30,L50,1.437131,EA8Z,EB0Y
B95,R53,1.267753,XN9ZG,MG25
B18,F15,2.0366902182,1E51,6C4C
R05,R09,1.268681,MD12,MC9Y
I61,I64,2.03199223192,8B00,8B20
G24,L30,1.223672,8A02,EA8Z
A46,E66,1.56091448993,1B70,5B81
N30,R06,1.150921,GC00,MD11
I46,L30,1.162328,MC82,EA8Z
E10,R73,2.30449350155,5A10,MA18.0Z
F84,R53,1.101991,6A0Z,MG25
F02,R41,2.06916202451,6D83,MB21
I46,R02,2.29935790722,MC82,MC85
R23,R53,1.148538,ME66.Y,MG25
K59,L29,1.4775,DD91,EC90
F07,I64,1.8660354627,6E6Z,8B20
F91,G40,1.26623,6C91,8A6Z
R12,T73,1.056034,MD95,NF07
B34,E66,1.323472,1D9Z,5B81
R05,R31,1.06991,MD12,MF50.4Z
J45,T73,1.321811,CA23.32,NF07
B17,R17,2.31427452234,1E50,ME10.1
F51,M54,1.047835,7B2Z,ME84
B95,Z04,1.345447,XN9ZG,MF3Y
R53,T14,1.309615,MG25,ND56
E86,N30,2.2676021241,5C70,GC00
R11,Z04,1.241894,MD90.1,MF3Y
F98,L30,1.36438,6B0Z,EA8Z
K25,R11,1.496801,DA60,MD90.1
E11,E66,1.26275,5A11,5B81
I61,R07,1.022659,8B00,MD30
I46,R09,2.1754828337,MC82,MC9Y
G21,R53,1.326228,8A00.2Z,MG25
J45,R10,1.52064151975,CA23.32,MD81.4
R05,T14,1.073978,MD12,ND56
F98,R46,1.126588,6B0Z,MB23
K76,R18,2.29765009694,DB99.Y,ME04
B95,H10,2.25481389903,XN9ZG,9A60
I50,R05,1.434314,BD1Z,MD12
R26,R55,1.9996014104,MB44,MG45
E11,E16,2.23311882793,5A11,5A4Z
I46,Z04,1.058187,MC82,MF3Y
G43,L65,1.9241116917,8A8Z,ED70
R12,R30,1.032061,MD95,MF50
F07,F91,1.53836423216,6E6Z,6C91
E78,I25,2.28849074743,5C8Z,BA5Z
N30,R33,1.95359770097,GC00,MF50.3
